"","Revenue.AUD.","cluster"
"358",28.99,3
"359",95.38,3
"360",81.77,3
"361",94.55,3
"362",81.77,3
"363",44.05,3
"364",53.32,3
"365",249,1
"366",148.11,3
"367",341.3,1
"368",101.78,3
"369",225.67,1
"370",72.68,3
"371",180.91,1
"372",105.38,3
"373",109.05,3
"374",65.37,3
"375",176.82,3
"376",181.77,1
"377",254.55,1
"378",90.91,3
"379",489.83,1
"380",65.42,3
"381",276.32,1
"382",418.18,1
"383",102.69,3
"384",20.15,3
"385",162.36,3
"386",35.45,3
"387",81.77,3
"388",68.13,3
"389",125.86,3
"390",161.77,3
"391",233.52,1
"392",100,3
"393",138.1,3
"394",99.93,3
"395",127.26,3
"396",94.51,3
"397",151.38,3
"398",100,3
"399",145.41,3
"400",118.14,3
"401",60.9,3
"402",113.58,3
"403",99.95,3
"404",190.86,1
"405",122.63,3
"406",72.64,3
"407",113.59,3
"408",89.04,3
"409",309,1
"410",43.67,3
"411",58.33,3
"412",198.77,1
"413",207.87,1
"414",319.86,1
"415",44.51,3
"416",54.55,3
"417",59.53,3
"418",92.7,3
"419",102.7,3
"420",149.91,3
"421",54.5,3
"422",141.64,3
"423",82.23,3
"424",163.59,3
"425",130.76,3
"426",73.59,3
"427",35.63,3
"428",281.94,1
"429",54.5,3
"430",86.3,3
"431",181.11,1
"432",81.77,3
"433",281.73,1
"434",127.23,3
"435",299.91,1
"436",190.82,1
"437",123.28,3
"438",85.34,3
"439",54.36,3
"440",71.82,3
"441",14.93,3
"442",87.23,3
"443",90.86,3
"444",361.8,1
"445",196.02,1
"446",63.63,3
"447",99.95,3
"448",118.05,3
"449",127.23,3
"450",171.82,3
"451",102.19,3
"452",73.46,3
"453",236.32,1
"454",81.82,3
"455",81.82,3
"456",109.05,3
"457",174.55,3
"458",131.83,3
"459",166.18,3
"460",275.43,1
"461",199.95,1
"462",0,3
"463",139.96,3
"464",118.14,3
"465",62.73,3
"466",76.25,3
"467",153.64,3
"468",136.32,3
"469",63.59,3
"470",63.59,3
"471",109.05,3
"472",71.28,3
"473",139.05,3
"474",137.92,3
"475",52.72,3
"476",151.82,3
"477",95.35,3
"478",85.42,3
"479",388.91,1
"480",276.36,1
"481",126.36,3
"482",285.44,1
"483",104.45,3
"484",55.36,3
"485",69.96,3
"486",127.23,3
"487",313.53,1
"488",54.5,3
"489",340.77,1
"490",118.14,3
"491",81.77,3
"492",113.62,3
"493",51.51,3
"494",175.3,3
"495",49.95,3
"496",356.28,1
"497",63.59,3
"498",21.99,3
"499",0,3
"500",130.82,3
"501",68.11,3
"502",162.68,3
"503",107.23,3
"504",58.15,3
"505",80.91,3
"506",130.41,3
"507",70.14,3
"508",435.39,1
"509",163.64,3
"510",0,3
"511",136.32,3
"512",346.18,1
"513",52.72,3
"514",90.86,3
"515",72.72,3
"516",72.68,3
"517",101.82,3
"518",381.72,1
"519",145.41,3
"520",71.82,3
"521",263.5,1
"522",99.95,3
"523",453.46,1
"524",54.05,3
"525",69.48,3
"526",184.07,1
"527",136.32,3
"528",226.46,1
"529",163.59,3
"530",68.09,3
"531",72.68,3
"532",54.5,3
"533",103.19,3
"534",35.42,3
"535",199.95,1
"536",145.45,3
"537",23.82,3
"538",77.18,3
"539",67.26,3
"540",26.51,3
"541",74.51,3
"542",163.59,3
"543",49.09,3
"544",654.46,2
"545",262.68,1
"546",199.94,1
"547",181.8,1
"548",95.45,3
"549",71.32,3
"550",145.41,3
"551",61.82,3
"552",108.64,3
"553",153.64,3
"554",50,3
"555",62.23,3
"556",21.99,3
"557",81.77,3
"558",208.71,1
"559",70.63,3
"560",90.86,3
"561",72.68,3
"562",217.73,1
"563",130.8,3
"564",299.19,1
"565",90.86,3
"566",16.99,3
"567",345.16,1
"568",71.82,3
"569",181.77,1
"570",90.86,3
"571",153.54,3
"572",354.55,1
"573",99.94,3
"574",144.45,3
"575",76.36,3
"576",90.9,3
"577",208.91,1
"578",54.53,3
"579",101.78,3
"580",90.89,3
"581",50.86,3
"582",58.14,3
"583",327.17,1
"584",170.64,3
"585",229.64,1
"586",79.93,3
"587",272.51,1
"588",63.64,3
"589",71.27,3
"590",336.36,1
"591",94.82,3
"592",121.91,3
"593",357.71,1
"594",218.1,1
"595",81.82,3
"596",56.34,3
"597",122.73,3
"598",117.21,3
"599",249.89,1
"600",72.69,3
"601",99.95,3
"602",59.05,3
"603",172.58,3
"604",81.77,3
"605",72.73,3
"606",72.73,3
"607",45.36,3
"608",114.09,3
"609",26.29,3
"610",199.95,1
"611",188.36,1
"612",71.82,3
"613",35.42,3
"614",72.73,3
"615",245.41,1
"616",118.14,3
"617",54.5,3
"618",26.51,3
"619",109.05,3
"620",331.59,1
"621",112.72,3
"622",163.56,3
"623",26.55,3
"624",39.96,3
"625",63.61,3
"626",499.91,1
"627",35.63,3
"628",98.14,3
"629",126.05,3
"630",63.63,3
"631",71.82,3
"632",51.81,3
"633",39.1,3
"634",38.33,3
"635",127.27,3
"636",54.55,3
"637",99.95,3
"638",1051.67,2
"639",99.93,3
"640",513.59,1
"641",199.09,1
"642",90.91,3
"643",436.35,1
"644",134.55,3
"645",235.05,1
"646",59.07,3
"647",144.73,3
"648",52.66,3
"649",145.36,3
"650",72.68,3
"651",99.92,3
"652",172.68,3
"653",181.81,1
"654",19.88,3
"655",0,3
"656",172.72,3
"657",154.55,3
"658",49.99,3
"659",388.42,1
"660",160.53,3
"661",162.92,3
"662",77.18,3
"663",130.91,3
"664",90,3
"665",381.82,1
"666",54.05,3
"667",247.24,1
"668",181.77,1
"669",26.51,3
"670",25.6,3
"671",76.82,3
"672",56.84,3
"673",453.89,1
"674",75.45,3
"675",72,3
"676",16.55,3
"677",53.71,3
"678",116.33,3
"679",100,3
"680",118.09,3
"681",26.33,3
"682",480.45,1
"683",54.54,3
"684",204.41,1
"685",109,3
"686",31.09,3
"687",125.41,3
"688",77.22,3
"689",63.59,3
"690",59.09,3
"691",154.5,3
"692",163.59,3
"693",35.64,3
"694",108.64,3
"695",445.41,1
"696",49.95,3
"697",352.36,1
"698",108.82,3
"699",0,3
"700",307.86,1
"701",45.5,3
"702",213.5,1
"703",101.9,3
"704",90,3
"705",72.68,3
"706",327.09,1
"707",290.7,1
"708",59.05,3
"709",59.05,3
"710",201.78,1
"711",189.09,1
"712",45.45,3
"713",90.82,3
"714",245.36,1
"715",90.89,3
"716",33.48,3
"717",76.82,3
"718",35.63,3
"719",50.87,3
"720",87.2,3
"721",122.64,3
"722",109.05,3
"723",180.91,1
"724",99.95,3
"725",28.33,3
"726",68.16,3
"727",81.77,3
"728",126.55,3
"729",240.85,1
"730",55,3
"731",61.77,3
"732",49.07,3
"733",49.98,3
"734",138.15,3
"735",317.27,1
"736",100,3
"737",65.38,3
"738",48.82,3
"739",54.53,3
"740",68.11,3
"741",63.59,3
"742",34.96,3
"743",126.36,3
"744",126.5,3
"745",136.35,3
"746",72.66,3
"747",102.18,3
"748",136.32,3
"749",331.78,1
"750",71.82,3
"751",209.05,1
"752",209.05,1
"753",29.81,3
"754",51.77,3
"755",130.42,3
"756",254.44,1
"757",50.86,3
"758",137.45,3
"759",48.14,3
"760",164.43,3
"761",226.41,1
"762",33.15,3
"763",90.91,3
"764",254.32,1
"765",117.23,3
"766",181.77,1
"767",587.17,2
"768",77.27,3
"769",168.14,3
"770",0,3
"771",63.59,3
"772",104.41,3
"773",399.86,1
"774",127.18,3
"775",109.09,3
"776",362.73,1
"777",139.09,3
"778",112.48,3
"779",103.73,3
"780",135.51,3
"781",118.09,3
"782",238.82,1
"783",149.91,3
"784",408.14,1
"785",107.92,3
"786",0,3
"787",90.86,3
"788",46.36,3
"789",68.14,3
"790",175.43,3
"791",95.95,3
"792",59.05,3
"793",54.5,3
"794",156.36,3
"795",69.95,3
"796",127.22,3
"797",67.27,3
"798",136.32,3
"799",304.09,1
"800",100,3
"801",101.74,3
"802",171.49,3
"803",136.32,3
"804",180.27,1
"805",127.23,3
"806",68.18,3
"807",28.33,3
"808",72.68,3
"809",363.5,1
"810",62.73,3
"811",127.23,3
"812",55.41,3
"813",63.59,3
"814",142.73,3
"815",84.09,3
"816",127.25,3
"817",450.05,1
"818",135.42,3
"819",185.34,1
"820",72.68,3
"821",37.43,3
"822",99.95,3
"823",72.68,3
"824",0,3
"825",123.58,3
"826",104.09,3
"827",162.91,3
"828",140.27,3
"829",109.09,3
"830",270.9,1
"831",102.22,3
"832",131.32,3
"833",29.23,3
"834",259,1
"835",190.86,1
"836",136.36,3
"837",127.18,3
"838",66.36,3
"839",86.32,3
"840",43,3
"841",196.29,1
"842",65.8,3
"843",63.63,3
"844",136.32,3
"845",59.92,3
"846",99.28,3
"847",63.59,3
"848",63.64,3
"849",100,3
"850",261.7,1
"851",90.86,3
"852",290.27,1
"853",59,3
"854",93.18,3
"855",168,3
"856",50.59,3
"857",63.59,3
"858",499.04,1
"859",162.73,3
"860",65.41,3
"861",61.05,3
"862",61.05,3
"863",155.41,3
"864",127.22,3
"865",172.64,3
"866",140,3
"867",124.89,3
"868",188.29,1
"869",239.98,1
"870",90.87,3
"871",145.38,3
"872",86.36,3
"873",95.32,3
"874",58.11,3
"875",163.59,3
"876",145.36,3
"877",163.55,3
"878",149.5,3
"879",207.86,1
"880",81.36,3
